example_id                                             | status | run_time        |
------------------------------------------------------ | ------ | --------------- |
./spec/controllers/widgets_controller_spec.rb[1:1:1]   | passed | 0.00978 seconds |
./spec/controllers/widgets_controller_spec.rb[1:2:1]   | passed | 0.27599 seconds |
./spec/controllers/widgets_controller_spec.rb[1:3:1:1] | passed | 0.01242 seconds |
./spec/controllers/widgets_controller_spec.rb[1:3:1:2] | passed | 0.01245 seconds |
./spec/controllers/widgets_controller_spec.rb[1:3:1:3] | passed | 0.02863 seconds |
./spec/controllers/widgets_controller_spec.rb[1:3:2:1] | passed | 0.00982 seconds |
./spec/controllers/widgets_controller_spec.rb[1:4:1:1] | passed | 0.01202 seconds |
./spec/controllers/widgets_controller_spec.rb[1:4:1:2] | passed | 0.01443 seconds |
./spec/controllers/widgets_controller_spec.rb[1:4:1:3] | passed | 0.01917 seconds |
./spec/controllers/widgets_controller_spec.rb[1:4:2:1] | passed | 0.01163 seconds |
./spec/controllers/widgets_controller_spec.rb[1:4:2:2] | passed | 0.01356 seconds |
./spec/controllers/widgets_controller_spec.rb[1:5:1]   | passed | 0.0112 seconds  |
./spec/controllers/widgets_controller_spec.rb[1:5:2]   | passed | 0.00885 seconds |
./spec/features/about_page_spec.rb[1:1]                | passed | 0.10848 seconds |
./spec/features/widget_page_spec.rb[1:1]               | passed | 1.1 seconds     |
./spec/models/widget_spec.rb[1:1]                      | passed | 0.0073 seconds  |
